date,case
2022-01-10,376
2022-01-11,473
2022-01-12,332
2022-01-13,305
2022-01-14,157
2022-01-15,1
2022-01-17,1
2022-01-18,351
2022-01-19,263
2022-01-20,333
2022-01-21,95
2022-01-24,176
2022-01-25,152
2022-01-26,114
2022-01-27,120
2022-01-28,87
2022-01-31,186
2022-02-01,159
2022-02-02,104
2022-02-04,60
2022-02-07,93
2022-02-08,58
2022-02-09,37
2022-02-10,31
2022-02-11,23
2022-02-14,20
2022-02-15,25
2022-02-16,14
2022-02-17,8
2022-02-18,8
2022-02-21,9
2022-02-22,10
2022-02-23,7
2022-02-24,11
2022-02-25,5
2022-02-28,11
2022-03-01,12
2022-03-02,6
2022-03-04,1
2022-03-07,6
2022-03-08,7
2022-03-09,10
2022-03-10,8
2022-03-11,4
2022-03-14,4
